,Unnamed: 0,text,target
17,17,გადაიხადა გოგოებს დაემშვიდობა და პინტასთან ერთად ბარიდან გავიდა კართან მდგომმა დაინახა თუ როგორ,2
18,18,ონლაინ თამაშის დისტანციურად მსგავსი შეაერთეთ ყოველ ბარი იმავე ფერის,5
19,19,დეციბელზე მეტი არ უნდა იყოს თუ ბარებსა და რესტორნებს ექვს და უფრო ნაკლებსართულიანი,2
20,20,სასწრაფოთ გოგონა თბილისის ზღვაზე თემქის მხარეს ბარში გამოცდილება უნდა ქონდეს სასურველია ერთერთმა იცოდეს,2
21,21,ფსკერზე წელს მან კიდევ ერთხელ იჩხუბა ბარში მოგვიანებით კი მორიგ სკანდალში გაეხვია მოდელ,2
22,22,წვდომა და ცოდნა ნატურალური ღვინის ნიშურ ბარებზე,2
23,23,არ აქვს ბიზნეს სფეროში გამოიყენება რესტორნებში ბარებში კაზინოებში კაფეებში სუპერ მარკეტებში და მარკეტების,2
24,24,ხელი სტაცა და სულ სირბილით შეაგდო ბარში გიგა სიცილისგან ტიროდა სულაც არ ფიქრობდა,2
25,25,ამბობენ რომ მათ ნებართვა მხოლოდ კაფე ბარის მშენებლობისთვის გასცეს,2
26,26,რესტორანი ბარი ბერდი ერთერთი ყველაზე გამორჩეული ადგილი თბილისში,2
27,27,ახალი სამსახურის ძებნას დავიწყებდი ის იყო ბარს გამოვცდი რომ კუთხეში ხმამაღალი გარჩევის ხმა,2
28,28,ჰაერის ტემპერატურა დაბლობსა და ბარში გრადუსია მოსალოდნელი უწყების ინფორმაციით თბილისში მაისს,1
29,29,სამი სამხედრო პირი დაბრუნდა ბარში მათ სერიოზული და ზვიადი გამომეტყველება ჰქონდათ,2
30,30,აიღეთ ხელში ბარი გაიმართეთ დადგით ფეხი ბარის ქვედა ნაწილზე და დააჭირეთ როგორც წესი,0
31,31,ხარისხის კოქტეილის მომზადების წესებს გაეცნოთ გთავაზობთ ბარის სამ საავტორო რეცეპტს სეზონური სასმელის მოსამზადებლად,2
32,32,სეზონის დასასრულს ჭიატურაში დაბრუნდება და საკუთარ ბარს გახსნის დდ ასეც რომ იყოს ოფიციანტის,2
33,33,ძალიან კარგად ბარი პირველივე დღიდან გადაჭედილი იყო როცა კალას,2
34,34,დაუძლურებული ბარის ბრძოლა არაბებთან ჩამოდის ისტორიული ამბების სცენიდან,1
35,35,მთავრობამ არ დააყოვნა საშიში ზონებიდან ხალხი ბარში გადმოასახლა ასე მოხვდა ქათამაძეების ოჯახიც სოფ,1
36,36,მისი საყვარელი ბარი მდებარეობს პორტუგალიის სანაპიროზე სახელწოდებით,2
37,37,ებით კონდენციონერი ცენტრალური გათბობა ინტერნეტი ტელევიზია ბარის სტოიკა და თანამედროვე დიზაინი ლიფტი მუშაობს,2
38,38,აღმოსავლეთ საქართველოში ჰაერის მოსალოდნელი ტემპერატურაა ბარში მთაში მაღალ მთაში გრადუსი,1
39,39,ვითომ გრინჩმა დაკლაკნილ გოგოზე მიუთითა და ბარის მაგიდისკენ გაიქნია თავი წამო იქიდან კაი,2
40,40,იდეების გასაცვლელად საღამოს კი აქაურობა სოციალურ ბარად გადაიქცევა,2
41,41,რა ხდებოდა ამ დროს ბარში უჭირდა ბარს მომხდური მოსვენებას არ აძლევდა,1
42,42,ბარში შევხდებით ერთხელ მთა მთა ნი,1
43,43,დატვირთული მაშინ საქართველოს ტერიტორიაზე მა მილიონმა ბარელმა ნავთობმა გაიარა,7
44,44,სავაჭრო ბანკი დაარსდა შესანახად დედაქალაქში ავტო ბარი აპირებს ძლიერი სასმელი რომელთაც სურთ რათა,2
45,45,წავედით და საპატივცემულოდ შევუკვეთე იქიდან მეორე ბარში გადავინაცვლეთ იქ ორ იტალიელ გოგოს გამოველაპარაკე,2
46,46,სოციალურ ქსელში ჯეო ბარის პიკანტური ფოტო გამოქვეყნდა,4
47,47,ან იქნებ ბუდა ბარი სულაც იქ ააშენონ ამის შესახებ დაზუსტებული,2
48,48,გავყევი ბარში ხალხი თანდათან მატულობდა კოლიამ ერთი ბოთლი,2
49,49,დიჯეი ჰყავს ჩამოყვანილი ქართული კლუბებისა თუ ბარებისთვის ბიკო დღეს ჩვენი რუბრიკის სტუმარია,2
50,50,რესტორნის სპორტ ბარის მენეჯერი ბათუმში კომპანია აპრ მაის,2
51,51,კონტროლის თამაშის არის ისრებით და სივრცეში ბარი რომ ხტომა,5
52,52,გემი ამისათვის მას სჭირდება რათა ხტომა ბარელი ჩამოკიდებული ჰაერში,-1
53,53,რადიო თავისუფლების ფოტოგრაფმა ამოს შაპლმა თუშეთიდან ბარისკენ გზა მწყემსებთან ერთად გაიარა და ცხვრის,1
54,54,და ხან შეშას ჩეხავდა ხან მიწას ბარავდა ხან ცხენს ხედნიდა და გასამრჯელოსაც გულუხვად,0
55,55,ასეთი მონდომების მიუხედავად ბარი ჯერ კიდევ არ არის პოპულარული ახალგაზრდებს,-1
56,56,ფართი კვ დუპლექსი საძინებლით სვ წერტილით ბარით ხედებით გათბობით ფასი ტელ დეტალური ინფორმაციის,2
57,57,თანხის დაბრუნების პროგრეს ბარი შეგიძლიათ იხილოთ განყოფილებაში ჩემი ანგარიში,5
58,58,ყველაზე შრომატევადია ბარვა ამისთვის დამხმარე მყავს მარტის დასაწყისში აუცილებლად,0
59,59,მოვრჩი ლაგებას ფეხზე ძლივს ვიდექი და ბარის სკამზე დავეხეთქე ამ დროს ბატონი გივი,2
60,60,ამასობაში თავისი მოდური ბარების და პოპულარული ტექნო კლუბების წყალობით თბილისმაც,2
61,61,შპს ვირენთ ჯი სგან ქირავდება კაფე ბარი და ლაუნჯ რესტოანი სითი უფრო ვრცლად,2
62,62,ჩემთვის და და გრამიანებს ვხმარობ სხვადასხვა ბარ წნევით,8
63,63,როგორც იქნა დიზაინის აწყობა დავასრულე ბარის კედლებში უამრავი ამოჭრილი ნიშა და ბევრი,2
64,64,სროლას პოლიცია ამ დრომდე მუშაობს რომ ბარზე კონტროლი დაამყაროს ეჭვმიტანილის შესახებ მათ ჯერ,2
65,65,სიღნაღის ვარსკვლავი სასტუმრო ჰერიო ღვინის სადეგუსტაციო ბარი ღვინისსამყარო ინტერნეტ კაფე საკონფერენციო არტ გალერეა,2
66,66,კიდევ ერთი აბრა ჩნდება რომელიც გვატყობინებს ბარის გადავსებულობას რეალურად ეს ასე არ არის,2
67,67,ჰმმ ახლა მასთან ვალში ვარ არაფერიიც ბარი ბარში ვართ მის მიერ მოყენებული ტკივილი,6
68,68,დროს მისი ახლო მეგობარია სასტუმრო ის ბარს ოქსფორდში მისისიპიში სადაც არჩი ელი და,2
69,69,ქარიან წვიმიან საღამოს ოკეანის პირას კაფე ბარი შენიშნა,2
70,70,ნახევარ საათში აქ გავჩნდით გამოვართვით მუშებს ბარები და ხუთ წუთში გადავუფარეთ ეს ორმოები,0
71,71,ქართული უკრაინული სასაუბრო რესტორანი კაფე ბარი,2
72,72,ვაკანსია კაფე ბარი თბილისი ვაკანსიების ვებსაიტი,2
73,73,მაქს მინ ბუნებრივი აირის მოხმარება ბარი ბარი,-1
74,74,საქმიანობისთვის ბანკისთვის მიკრო საფინანსო მაღაზია კაფე ბარი,2
75,75,ბარ ის პანორამული ფანჯრებიდან რომელიც სართულზეა განთავსებული,2
76,76,სახელმწიფოს მტერი თუმცა მისი მომდევნო ნამუშევარი ბარი ზონენფელდის კომედიაში ველური ველური დასავლეთი ჩავარდა,4
77,77,მისამართი ბარი ვაკის პარკი შესასვლელი აბაშიძის ქუჩის მხრიდან,-1
78,78,ბარ რაფაელი ის წითელ ხალიჩაზე დააფიქსირეს,4
79,79,გადაწყვეტს სიგარეტის საყიდლად წავიდეს ახლოს მდებარე ბარში აქ იწყება მისი იაფასიანი ოდისეა რამდენიმე,2
80,80,ძრავიდან ზეთის ამოსაქაჩი ტუმბო წნევა ბარი,8
81,81,თუ იცის რო ეს იარაღები გატესტილია ბარ წნევაზე რაც მეტალის მდგრადობიდან გამომდინარეა საკმაოდ,8
82,82,დასრულების შემდეგ ებს თელ ავივის საუკეთესო ბარებში კარნავალი და სხვა დაუვიწყარი წვეულებები,2
83,83,ყველაზე დიდ მოულოდნელობად შეიძლება ჩაითვალოს ბარის თხილამურობაში ნორვეგიელთა შედეგები სპორტის ამ სახეობის,-1
84,84,ქსეროქსები დაკეცა გვერდით გადადო და ბარისკენ წავიდა,2
85,85,ფრანგული ოჯახის სექსუალური ქრონიკები ჟან მარკ ბარი პასკალ არნოლდი უყურე ონლაინში,4
86,86,დეკემბერში ნავთობის მიწოდებას დღეში ნახევარ მილიონ ბარელამდე შეამცირებს მიზეზი მოთხოვნის სეზონური შემცირებაა საუდის,7
87,87,ნანტში წლიდან ორი სრულიად ახალი ტიპის ბარი გაიხსნება და იქ მისული სტუმრების სიმყუდროვეზე,2
88,88,კოქტეილებით მოიცავს ორ ძირითად დარბაზს ერთში ბარია განთავსებული მეორე დარბაზში თქვენ გელოდებათ,2
89,89,საკმაოდ უბრალო ბარი იყო წინ პატარა ეზო ჰქონდა შემოღობილი,2
90,90,დის ძებნაში მეორე ეხმარება მას დაკეტილი ბარის რესტავრაციაში,2
91,91,ლარად მენიუ პერსონაზე და გართობა კარაოკე ბარში ყიდვა დეტალურად,2
92,92,საერთოდ დიდი დაჭაობების გამო დასავლეთ საქართველოს ბარი კულტურულად არ იყო დაწინაურებული ლაზიკა კი,1
93,93,იყოს აცხადებს გიორგი ბახტურიძე რომელსაც სიგარა ბარებსა და კაზინოებში მოწევის დაშვება მაინც გარდამავალ,2
94,94,გაერთიანება აღმოსავლეთ საქართველოს ბარში აღმოსავლეთ საქ ბარში მიწა იხვნებოდა მრავალხარშებმული მძიმე სახვნელი იარაღით,1
95,95,მთიანეთი დაიჭირეს შემდეგ ოსების ტომები ქართლის ბარისაკენ დაიძრნენ თუკი აქამდე ვახტანგი წელს იმორჩილებდა,1
96,96,და არ ვიცი ანუ დამინახია სასტუმროს ბარში რომ იჩ თებიან ხოლმე და რამე,2
97,97,მთა საქართველოს ვერ მიეკუთვნება მთის მისადგომებია ბართან მჭიდროდ დაკავშირებული ტექსტი სრულად აქ,1
98,98,გახდა კუბის მოცულობის შემცირება კუბამდე წნევა ბარზეა დაყენებული კრუგერის მიერ მარა სურვილისამებრ შემიძლია,8
99,99,ოჯახურ სიმყუდროვეს ანიჭებს რესტორნის პირველ დონეზე ბარი სავარძლებიანი კუთხე და რესტორანია მეორე დონე,2
100,100,და სპა სივრცეები აფრეთვე ახალი რესტორნები ბარები და ლაუნჯები დაგეგმილია ასევე სტუმრებისთვის განკუთვნილი,2
101,101,ბარი რესტორანი ლაუნჯ ბარი საუნა სრიალის სწავლება,2
102,102,ლარად მენიუ პერსონაზე დაუვიწყარი გართობა კარაოკე ბარ რესტორანში,2
103,103,უყვება რადიო თავისუფლებას ვიტალი დიუმას ქუჩაზე ბარში იმყოფებოდა ორ მეგობართან ერთად რომლებსაც რუსულ,2
104,104,კლდეზე გადაკიდებული საცურაო აუზი ღია ლაუნჯ ბარი და კემპინგი,2
105,105,სექტემბერს ჰაერის ტემპერატურა დაბლობსა და ბარში გრადუსამდე დაიკლებს,1
106,106,ვეღარ გრძნობთ იმავე ხარისხს რომელიც ცილის ბარიდან იგრძნობს როგორც სრული საჭმლისგან მაგრამ რა,2
107,107,იგეგმება შენობების გარე ფასადების განახლება და ბარების მოწყობა,2
108,108,მეგობრებს უხსნის თუ როგორ აყარონ გოგოები ბარში ნეში ეუბნება მათ თუ მიხვალთ ქერათმიან,2
109,109,ქუჩაში ვიღაც ამედევნა თავის დასაღწევად კი ბარში შევედი ის წყეულიც უკან შემომყვა შემდეგ,2
110,110,მე სტალინის აბაზანისა და აუზის და ბარ მუზეუმის მონახულებით მრავალი საინტერესო ისტორიითა და,2
111,111,იყოს იმიტომ რომ არის კონკრეტული ეს ბარი იქნება რესტორანი თუ სხვა დაწესებულება რომელიც,2
112,112,რესტორნების კონტროლზე რა ხდება საშინელებები ხდება ბარებში რესტორნებში და ღამის კლუბებში გაამკაცრეთ მაქსიმალურად,2
113,113,როგორ მივიდეთ კაფე ბარი დადიანი მდე ავტობუსი ით,2
114,114,მშობლიურ ქალაქ ბულონ სიუ მერში უალკოჰოლო ბარი გახსნა,2
115,115,მოწყობილობები მაქსიმალური წნევის არ უნდა აღემატებოდეს ბარი,8
116,116,მეტიც წლის ის მიხედვით წოვა თუშები ბარში სოფელ ალვანში ოფიციალურად არ არიან რეგისტირებულნი,1
117,117,წიინააღმდეგობების მოძრაობების ასოციაციით პოლიციის მიერ გეი ბარებისა და დისკოთეკების დარბევა აშშ ის ქალაქებში,2
118,118,ბარები რომლებსაც ნანგრევების ბარებს ეძახიან ამ ბარების არსებობის ათვლის წერტილია წელი როდესაც ახალაგზრდებს,2
119,119,საწყობიდან გამოვიდა და ალემედას ქუჩაზე მიდიოდა ბარ პედროში ხუთ ცენტიანი ყავის დასალევად ადრიანი,2
120,120,ტოვებს და გზას იკვლევს გრინვიჩის პატარა ბარებსა და კაფეებში რაც საბოლო ჯამში ღამის,2
121,121,ეტაპზე დღე ღამის განმავლობაში ნავთობსადენი ათას ბარელ ნავთობს ატარებს საიდანაც სწორედ თურქმენულ ნავთობზე,7
122,122,ვე ბი ყვე ლას თუ რა ბარ ბა რო სუ ლად გა გი,-1
123,123,საშობაო მადაგასკარი ქართულად ბურთის შერჩევა ქართულად ბარი საძაგელი კოიოტი ქართულად ტკივილი ჩემს გულში,-1
124,124,მცირე რაოდენობით პურის დამზადებით იყო გამოწვეული ბარ,-1
125,125,სოლოლაკში კარაოკე ბარი გაიხსნა ოფიციალური ვებგვერდი,2
126,126,ბავშვებმა ბარში ააშენებს ქვიშის ციხე კოშკი,1
127,127,ბარში ხედი უიტმენი გზა სამხრეთით ვაშინგტონში ტეხასი,-1
128,128,რომ საქართველო მრავალფეროვან მთ სა და ბარ მოსახლეობ და თან არ უნდა დავ,-1
129,129,მიყვარს ძალიან ჩაისთან ერთად ლიმონიან ჩაის ბარი ვაითიც უხდება ვერაფერს იტყვი ახლა მე,2
130,130,ვააა ბარო ბიჭები ჩემი ძმა თეთრ კაბიანის გვერდეზე,-1
131,131,ზღვითა ვითა მდინარე ვიწროდ ზღვა შეერთვის ბარისა ზღვასა თეთრსა ამ ვიწროს მომდინარეობისათვის ექსანოპონტოდ,-1
132,132,და სანამ სიგარასაც გადასწვდებოდა აღმოაჩინა რომ ბარში ჩართულ ტელევიზორში რომელსაც არავინ უყურებდა ფეხბურთი,2
133,133,ჯგუფზე მარტივი ჰერპესის ჩუტყვავილა ზოსტერის ებშტეინ ბარის ვირუსები ციტომეგალოვირუსი წითელას და წითურას ვირუსები,4
134,134,კონტროლს უწევდა ივრის ხეობის ზემო წელის ბართან დამაკავშირებელ აგრეთვე ახლო აღმოსავლეთიდან მცხეთა თბილისისაკენ,1
135,135,ყველას აბა ერთი ვინმემ სცადოს ასეთი ბარის გახსნა და ფული არ მიიტანოს სადაც,2
136,136,როგორც ერთ ერთ ბარში განმარტავენ მათთვის უცნობია რა მოტივით მოხდა,2
137,137,ტერიტორიიდან კვ მიწის ნაკვეთის შპს ქარვის ბარისთვის პირდაპირი განკარგვის წესით სარგებლობის უფლებით იჯარის,-1
138,138,წლის ბარ რაფაელმა მიიღო მონაწილეობა ფოტოსესიაში რომელიც,4
139,139,სიფრთხილე აუცილებელია გამართავს ვიზიტის დროს სხვადასხვა ბარის სანაპიროზე იმიტომ რომ ყველა საბურავი დამონტაჟებული,-1
140,140,ადგილიან რესტორანს ქართული და ევროპული კერძებით ბარს საათიანი მომსახურეობით,2
141,141,ბეჭდების მბრძანებელი ორი ციხე კოშკი ბარი ოსბორნი ფრენ უოლში პიტერ ჯექსონი,-1
142,142,სატელევიზიო კარიერის მიღმა რამზი რესტორნისა და ბარის მფლობელია ინგლისში ასევე რესტორნის მსოფლიოს სხვადასხვა,2
143,143,პირით აღმოსავლეთის მხრიდან ეკვრის საქართვვლო ადერბეიჯანის ბარს მაგრამ აქედანაც მას მდინარეების ერთიანი ხაზი,1
144,144,წევრი ქვეყნები შეთანხმდნენ რომ დღეში ათას ბარელამდე შეამცირონ ნავთობის წარმოება ამ ინფორმაციის შემდეგ,7
145,145,შენ ბარის ამბებს მიხედე შენგელ და იმ თამარს,2
146,146,ზაფხულის ერთ დილას ყავის დასალევად შევიარე ბარის მაგიდაზე გამოფენილი გემრიელი ნამცხვრების გამო ჩავთვალე,2
147,147,შემტკივა რომ კარგი მეგობრები ყავდეს მაგრამ ბარში ნიკასთან ერთად იყო თუ გოგასთან ან,2
148,148,ზოგადი საოჯახო ნომერი ბარი კონსიერჯი ლიფტი რესტორანი სამრეცხაო უკაბელო ინტერნეტი,2
149,149,მან ბარით ხელში აშენოს უნდა ღვთისთვის საყდარი,0
150,150,ღიღინებდა დიდხანს აღარ უცდია სწრაფად შემოსვა ბარზე და ისე დაეწაფა მის ტუჩებს ელენეს,-1
151,151,და მისი სხვა პერსონაჟების შთაგონებით თემატური ბარი სახელად გაიხსნა,-1
152,152,კარგად ემსახურება პატარა მყუდრო წინა ოთახი ბარით ყოფილი გარაჟის ეზო სასიამოვნოდ განაწყობს ფილმის,2
153,153,კვ მეტრი დიდი ოთახი სტუდიოს სტილში ბარის სტოიკით საწყისი ფასი ლარი მარინა თამაზი,2
154,154,და ამაღელვებელია მხოლოდ წინაპრების მთისა და ბარის სიყვარულით დაიძლევა ყოფითი ყოველდღიური ცხოვრება,1
155,155,კაფე ბარი რესტორანი რესტორანი მე სართ ანაკლია,2
156,156,ოჯახის წევრებს გჭირდებათ შეგროვება როგორც ბევრი ბარელი ლუდი რომელიც გადავა თავზე მას ერთხელ,7
157,157,სრულად მთიულეთის თემი მათით სამართლიანითა მთითა ბარითა საყდრებითა წყლითა წისქუილითა სათევზაოითა სანადიროითა ველითა,1
158,158,კერძოდ მოწევა შეიზღუდება რესტორნების კაფეების ბარების კვების სხვა ობიექტების გასართობი კლუბების ცენტრების,2
159,159,აღმოსავლეთ საქართველოს ბარში შალაფით ძლიერ დასარევლიანებულ ნაკვეთებზე ნაწვერალი უნდა,1
160,160,ადმინისტრაციული ღონისძიებები და ითვალისწინებდა მთისა და ბარის ეკონომიკური კავშირების გაძლიერებას და მათ შორის,1
161,161,ყოფილი მღვდლის ბარი საკუთარ სპიდს გამოქცეული გამოღმელების სემინარიაა როდესაც,-1
162,162,ლონდონში ამ დროისთვის მოდურად იქცა ღვინის ბარებში რესტორნებში პრესამ და კარგმა პიარმა მომხმარებელი,2
163,163,ხევსურეთის რეგიონებად განცალკევება ვფიქრობთ სამეფო ხელისუფლებამ ბართან უფრო ახლოს მდებარე შემდეგდროინდელი ფშავის ნაწილი,1
164,164,იზოლირებული სამზარეულო მოსასვენებელი ოთახი მისაღები ოთახი ბარის ოთახი ტერასით აივნებით შენობა არის იდეალურ,2
165,165,აღვწერე საღამოს კიდევ პატარა ზვიგენები მოდიან ბარის ქვემოთ წყალში და აჭმევ საოცარ მოძრაობებს,5
166,166,აქცესიურსა და დეცესიურ კომპლექსებში ქართული ენის ბარის კილოების ჩვენებათა მიხედვით,1
167,167,ქედის ჩრდილო დასავლეთ კალთაზე იღებს სათავეს ბარისკენ ეშვება და ბაღდათთან მდინარე ხანისწყალს ერთვის,1
168,168,არის დაფასებული კარგი მზარეული რესტორებსა თუ ბარებში ძალიან დიდი მნიშნველობა აქვს მზარეულის პირად,2
169,169,ირანში წარმოება მეოთხე კვარტალში დღეში მილონ ბარელამდე დაეცემა და ამის გამო საერთაშორისო ბაზრისმიწოდებიდან,7
170,170,რომელიც პლასმასშიად ამაინც და მაინც ესენია ბარზე გათვლილი,-1
171,171,და პიარის ხელმძღვანელი ეკა ტოროშელიძე ბუდა ბარ თბილისის წარმომადგენელი და კომპანია ეკო ფუდის,2
172,172,ბედი დღეს ჩვენთვის მომავალი არა ანაკლიის ბარებში და ბორდელებში დროის ტარებაა არამედ ჩვენი,2
173,173,ალბათ ბავშვები ბარში წავალთ ან კლუბში,2
174,174,ხვრელებს და ასე გადაადგილდება თუ ნიადაგს ბარვის დროს დავაკვირდებით ვნახავთ რომ მიწა დასვრეტილია,0
175,175,დღე ორიგინალურად აღნიშნა და გლაზგოში უჩვეულო ბარი გახსნა ბარი რომელსაც უწოდეს წლის მიტოვებულ,2
177,177,აღმშენებლობა მოაშენა აყრილი სოფლები ომებისაგან გაუკაცრიელებული ბარის ნასოფლარებში ჩამოიყვანა მთის მოსახლეობა და ნაწილობრივ,1
178,178,ბარი სადაც ძველი სკოლა დიდი ხანია ვმუშაობთ,-1
179,179,მზიანი აირჩიე მისაღებად მზე ამისათვის გამოიყენოთ ბარი ნავიგაცია მოძრავი წრე საუკეთესო მომენტი განახორციელოს,5
180,180,იქ არ იყო იმის საშუალება რომ ბარის საქართველოს მსგავსად ვრცელი სააზნაურო ერთეულები გავრცელებულიყო,1
182,182,კახეთში და დაინახავს მოხეული მასტი ეზოში ბარავს გახდილია შრომისგან ბატიბუტივით აყრია კუნთები ცუდი,0
184,184,აბაშიძის ნომერში ახალი ჟანგბადის ბარი ავიატორი გაიხსნა,2
185,185,ავტობუსი სადგურები რომელიც ახლოსაა ლუდის ბარი თან თბილისი ში,2
186,186,მისი მეგობრები ისრიანი ღილაკები და სივრცეში ბარი,5
188,188,ძირითადად სვანი ტომების საცხოვრისს წარმოადგენდა კოლხეთის ბარი მიმდგომი მხარეებით ზანი ტომების ადგილსამყოფელი უნდა,1
191,191,რამოდენიმე სავაჭრო ობიექტი მათ შორის ლუდის ბარი ჰეინიკენი და ავტოსამრეცხაო,2
192,192,მოღვაწეებში მოხვდნენ მომღერალი ალიშა კიზი სცენარისტი ბარი ჯენკინსი მსახიობი ედ შირანი მსახიოხბი ემა,2
197,197,დღეისათვის ამ ქვეყანაში დღე ღამეში მილიონ ბარელ ნავთობს აწარმოებენ,7
198,198,ხიდი და სხალთის მონასტერი იქვე მაგარი ბარია სადაც ჩამოსასხმელი ბათუმის ლუდი აქვთ მერე,2
200,200,ერთი უინტერესოდ იყურება კაფის ვიტრინიდან მეორე ბართან ზის და მაცდურად იღიმება ყველა მათგანს,2
202,202,იმით ვქსოვდი მაგრამ ახლა ვეღარ ჩავდივარ ბარს თუ ამოხვალთ კიდევ ჩვენსას წამომიღეთ ფერადი,1
203,203,ბართან დგომა და ნაირ ნაირი სასმელების შეზავება,2
209,209,გადაამოწმეთ გუდაურში საკმაოდ ცოტა დისკოტეკა და ბარია ღამის გართობის მოყვარულებმა შეიძლება მოიწყინოთ მომსახურება,2
210,210,ვაუჩერი მენიუ პერსონაზე მხიარული გართობა კარაოკე ბარში,2
211,211,სარაფანა გადავიცვი კლასიკური ფეხსაცმელი ჩავიცვი და ბარში ჩავედი,2
