sentence,label
სასწრაფოთ გოგონა თბილისის ზღვაზე თემქის მხარეს ბარში გამოცდილება უნდა ქონდეს სასურველია ერთერთმა იცოდეს,2
ფსკერზე წელს მან კიდევ ერთხელ იჩხუბა ბარში მოგვიანებით კი მორიგ სკანდალში გაეხვია მოდელ,2
წვდომა და ცოდნა ნატურალური ღვინის ნიშურ ბარებზე,2
არ აქვს ბიზნეს სფეროში გამოიყენება რესტორნებში ბარებში კაზინოებში კაფეებში სუპერ მარკეტებში და მარკეტების,2
ხელი სტაცა და სულ სირბილით შეაგდო ბარში გიგა სიცილისგან ტიროდა სულაც არ ფიქრობდა,2
ამბობენ რომ მათ ნებართვა მხოლოდ კაფე ბარის მშენებლობისთვის გასცეს,2
რესტორანი ბარი ბერდი ერთერთი ყველაზე გამორჩეული ადგილი თბილისში,2
ახალი სამსახურის ძებნას დავიწყებდი ის იყო ბარს გამოვცდი რომ კუთხეში ხმამაღალი გარჩევის ხმა,2
ჰაერის ტემპერატურა დაბლობსა და ბარში გრადუსია მოსალოდნელი უწყების ინფორმაციით თბილისში მაისს,1
სამი სამხედრო პირი დაბრუნდა ბარში მათ სერიოზული და ზვიადი გამომეტყველება ჰქონდათ,2
აიღეთ ხელში ბარი გაიმართეთ დადგით ფეხი ბარის ქვედა ნაწილზე და დააჭირეთ როგორც წესი,0
ხარისხის კოქტეილის მომზადების წესებს გაეცნოთ გთავაზობთ ბარის სამ საავტორო რეცეპტს სეზონური სასმელის მოსამზადებლად,2
სეზონის დასასრულს ჭიატურაში დაბრუნდება და საკუთარ ბარს გახსნის დდ ასეც რომ იყოს ოფიციანტის,2
ძალიან კარგად ბარი პირველივე დღიდან გადაჭედილი იყო როცა კალას,2
დაუძლურებული ბარის ბრძოლა არაბებთან ჩამოდის ისტორიული ამბების სცენიდან,1
მთავრობამ არ დააყოვნა საშიში ზონებიდან ხალხი ბარში გადმოასახლა ასე მოხვდა ქათამაძეების ოჯახიც სოფ,1
მისი საყვარელი ბარი მდებარეობს პორტუგალიის სანაპიროზე სახელწოდებით,2
ებით კონდენციონერი ცენტრალური გათბობა ინტერნეტი ტელევიზია ბარის სტოიკა და თანამედროვე დიზაინი ლიფტი მუშაობს,2
აღმოსავლეთ საქართველოში ჰაერის მოსალოდნელი ტემპერატურაა ბარში მთაში მაღალ მთაში გრადუსი,1
ვითომ გრინჩმა დაკლაკნილ გოგოზე მიუთითა და ბარის მაგიდისკენ გაიქნია თავი წამო იქიდან კაი,2
იდეების გასაცვლელად საღამოს კი აქაურობა სოციალურ ბარად გადაიქცევა,2
რა ხდებოდა ამ დროს ბარში უჭირდა ბარს მომხდური მოსვენებას არ აძლევდა,1
ბარში შევხდებით ერთხელ მთა მთა ნი,1
დატვირთული მაშინ საქართველოს ტერიტორიაზე მა მილიონმა ბარელმა ნავთობმა გაიარა,3
სავაჭრო ბანკი დაარსდა შესანახად დედაქალაქში ავტო ბარი აპირებს ძლიერი სასმელი რომელთაც სურთ რათა,2
წავედით და საპატივცემულოდ შევუკვეთე იქიდან მეორე ბარში გადავინაცვლეთ იქ ორ იტალიელ გოგოს გამოველაპარაკე,2
სოციალურ ქსელში ჯეო ბარის პიკანტური ფოტო გამოქვეყნდა,3
ან იქნებ ბუდა ბარი სულაც იქ ააშენონ ამის შესახებ დაზუსტებული,2
გავყევი ბარში ხალხი თანდათან მატულობდა კოლიამ ერთი ბოთლი,2
დიჯეი ჰყავს ჩამოყვანილი ქართული კლუბებისა თუ ბარებისთვის ბიკო დღეს ჩვენი რუბრიკის სტუმარია,2
რესტორნის სპორტ ბარის მენეჯერი ბათუმში კომპანია აპრ მაის,2
კონტროლის თამაშის არის ისრებით და სივრცეში ბარი რომ ხტომა,3
გემი ამისათვის მას სჭირდება რათა ხტომა ბარელი ჩამოკიდებული ჰაერში,3
რადიო თავისუფლების ფოტოგრაფმა ამოს შაპლმა თუშეთიდან ბარისკენ გზა მწყემსებთან ერთად გაიარა და ცხვრის,1
და ხან შეშას ჩეხავდა ხან მიწას ბარავდა ხან ცხენს ხედნიდა და გასამრჯელოსაც გულუხვად,0
ასეთი მონდომების მიუხედავად ბარი ჯერ კიდევ არ არის პოპულარული ახალგაზრდებს,3
ფართი კვ დუპლექსი საძინებლით სვ წერტილით ბარით ხედებით გათბობით ფასი ტელ დეტალური ინფორმაციის,2
თანხის დაბრუნების პროგრეს ბარი შეგიძლიათ იხილოთ განყოფილებაში ჩემი ანგარიში,3
ყველაზე შრომატევადია ბარვა ამისთვის დამხმარე მყავს მარტის დასაწყისში აუცილებლად,0
მოვრჩი ლაგებას ფეხზე ძლივს ვიდექი და ბარის სკამზე დავეხეთქე ამ დროს ბატონი გივი,2
ამასობაში თავისი მოდური ბარების და პოპულარული ტექნო კლუბების წყალობით თბილისმაც,2
შპს ვირენთ ჯი სგან ქირავდება კაფე ბარი და ლაუნჯ რესტოანი სითი უფრო ვრცლად,2
ჩემთვის და და გრამიანებს ვხმარობ სხვადასხვა ბარ წნევით,3
როგორც იქნა დიზაინის აწყობა დავასრულე ბარის კედლებში უამრავი ამოჭრილი ნიშა და ბევრი,2
სროლას პოლიცია ამ დრომდე მუშაობს რომ ბარზე კონტროლი დაამყაროს ეჭვმიტანილის შესახებ მათ ჯერ,2
სიღნაღის ვარსკვლავი სასტუმრო ჰერიო ღვინის სადეგუსტაციო ბარი ღვინისსამყარო ინტერნეტ კაფე საკონფერენციო არტ გალერეა,2
კიდევ ერთი აბრა ჩნდება რომელიც გვატყობინებს ბარის გადავსებულობას რეალურად ეს ასე არ არის,2
ჰმმ ახლა მასთან ვალში ვარ არაფერიიც ბარი ბარში ვართ მის მიერ მოყენებული ტკივილი,3
დროს მისი ახლო მეგობარია სასტუმრო ის ბარს ოქსფორდში მისისიპიში სადაც არჩი ელი და,2
ქარიან წვიმიან საღამოს ოკეანის პირას კაფე ბარი შენიშნა,2
ნახევარ საათში აქ გავჩნდით გამოვართვით მუშებს ბარები და ხუთ წუთში გადავუფარეთ ეს ორმოები,0
ქართული უკრაინული სასაუბრო რესტორანი კაფე ბარი,2
ვაკანსია კაფე ბარი თბილისი ვაკანსიების ვებსაიტი,2
მაქს მინ ბუნებრივი აირის მოხმარება ბარი ბარი,3
საქმიანობისთვის ბანკისთვის მიკრო საფინანსო მაღაზია კაფე ბარი,2
ბარ ის პანორამული ფანჯრებიდან რომელიც სართულზეა განთავსებული,2
სახელმწიფოს მტერი თუმცა მისი მომდევნო ნამუშევარი ბარი ზონენფელდის კომედიაში ველური ველური დასავლეთი ჩავარდა,3
მისამართი ბარი ვაკის პარკი შესასვლელი აბაშიძის ქუჩის მხრიდან,3
ბარ რაფაელი ის წითელ ხალიჩაზე დააფიქსირეს,3
გადაწყვეტს სიგარეტის საყიდლად წავიდეს ახლოს მდებარე ბარში აქ იწყება მისი იაფასიანი ოდისეა რამდენიმე,2
ძრავიდან ზეთის ამოსაქაჩი ტუმბო წნევა ბარი,3
თუ იცის რო ეს იარაღები გატესტილია ბარ წნევაზე რაც მეტალის მდგრადობიდან გამომდინარეა საკმაოდ,3
დასრულების შემდეგ ებს თელ ავივის საუკეთესო ბარებში კარნავალი და სხვა დაუვიწყარი წვეულებები,2
ყველაზე დიდ მოულოდნელობად შეიძლება ჩაითვალოს ბარის თხილამურობაში ნორვეგიელთა შედეგები სპორტის ამ სახეობის,3
ქსეროქსები დაკეცა გვერდით გადადო და ბარისკენ წავიდა,2
ფრანგული ოჯახის სექსუალური ქრონიკები ჟან მარკ ბარი პასკალ არნოლდი უყურე ონლაინში,3
დეკემბერში ნავთობის მიწოდებას დღეში ნახევარ მილიონ ბარელამდე შეამცირებს მიზეზი მოთხოვნის სეზონური შემცირებაა საუდის,3
ნანტში წლიდან ორი სრულიად ახალი ტიპის ბარი გაიხსნება და იქ მისული სტუმრების სიმყუდროვეზე,2
კოქტეილებით მოიცავს ორ ძირითად დარბაზს ერთში ბარია განთავსებული მეორე დარბაზში თქვენ გელოდებათ,2
საკმაოდ უბრალო ბარი იყო წინ პატარა ეზო ჰქონდა შემოღობილი,2
დის ძებნაში მეორე ეხმარება მას დაკეტილი ბარის რესტავრაციაში,2
ლარად მენიუ პერსონაზე და გართობა კარაოკე ბარში ყიდვა დეტალურად,2
საერთოდ დიდი დაჭაობების გამო დასავლეთ საქართველოს ბარი კულტურულად არ იყო დაწინაურებული ლაზიკა კი,1
იყოს აცხადებს გიორგი ბახტურიძე რომელსაც სიგარა ბარებსა და კაზინოებში მოწევის დაშვება მაინც გარდამავალ,2
გაერთიანება აღმოსავლეთ საქართველოს ბარში აღმოსავლეთ საქ ბარში მიწა იხვნებოდა მრავალხარშებმული მძიმე სახვნელი იარაღით,1
მთიანეთი დაიჭირეს შემდეგ ოსების ტომები ქართლის ბარისაკენ დაიძრნენ თუკი აქამდე ვახტანგი წელს იმორჩილებდა,1
და არ ვიცი ანუ დამინახია სასტუმროს ბარში რომ იჩ თებიან ხოლმე და რამე,2
მთა საქართველოს ვერ მიეკუთვნება მთის მისადგომებია ბართან მჭიდროდ დაკავშირებული ტექსტი სრულად აქ,1
გახდა კუბის მოცულობის შემცირება კუბამდე წნევა ბარზეა დაყენებული კრუგერის მიერ მარა სურვილისამებრ შემიძლია,3
ოჯახურ სიმყუდროვეს ანიჭებს რესტორნის პირველ დონეზე ბარი სავარძლებიანი კუთხე და რესტორანია მეორე დონე,2
და სპა სივრცეები აფრეთვე ახალი რესტორნები ბარები და ლაუნჯები დაგეგმილია ასევე სტუმრებისთვის განკუთვნილი,2
ბარი რესტორანი ლაუნჯ ბარი საუნა სრიალის სწავლება,2
ლარად მენიუ პერსონაზე დაუვიწყარი გართობა კარაოკე ბარ რესტორანში,2
უყვება რადიო თავისუფლებას ვიტალი დიუმას ქუჩაზე ბარში იმყოფებოდა ორ მეგობართან ერთად რომლებსაც რუსულ,2
კლდეზე გადაკიდებული საცურაო აუზი ღია ლაუნჯ ბარი და კემპინგი,2
სექტემბერს ჰაერის ტემპერატურა დაბლობსა და ბარში გრადუსამდე დაიკლებს,1
ვეღარ გრძნობთ იმავე ხარისხს რომელიც ცილის ბარიდან იგრძნობს როგორც სრული საჭმლისგან მაგრამ რა,2
იგეგმება შენობების გარე ფასადების განახლება და ბარების მოწყობა,2
მეგობრებს უხსნის თუ როგორ აყარონ გოგოები ბარში ნეში ეუბნება მათ თუ მიხვალთ ქერათმიან,2
ქუჩაში ვიღაც ამედევნა თავის დასაღწევად კი ბარში შევედი ის წყეულიც უკან შემომყვა შემდეგ,2
მე სტალინის აბაზანისა და აუზის და ბარ მუზეუმის მონახულებით მრავალი საინტერესო ისტორიითა და,2
იყოს იმიტომ რომ არის კონკრეტული ეს ბარი იქნება რესტორანი თუ სხვა დაწესებულება რომელიც,2
რესტორნების კონტროლზე რა ხდება საშინელებები ხდება ბარებში რესტორნებში და ღამის კლუბებში გაამკაცრეთ მაქსიმალურად,2
როგორ მივიდეთ კაფე ბარი დადიანი მდე ავტობუსი ით,2
მშობლიურ ქალაქ ბულონ სიუ მერში უალკოჰოლო ბარი გახსნა,2
მოწყობილობები მაქსიმალური წნევის არ უნდა აღემატებოდეს ბარი,3
მეტიც წლის ის მიხედვით წოვა თუშები ბარში სოფელ ალვანში ოფიციალურად არ არიან რეგისტირებულნი,1
წიინააღმდეგობების მოძრაობების ასოციაციით პოლიციის მიერ გეი ბარებისა და დისკოთეკების დარბევა აშშ ის ქალაქებში,2
ბარები რომლებსაც ნანგრევების ბარებს ეძახიან ამ ბარების არსებობის ათვლის წერტილია წელი როდესაც ახალაგზრდებს,2
საწყობიდან გამოვიდა და ალემედას ქუჩაზე მიდიოდა ბარ პედროში ხუთ ცენტიანი ყავის დასალევად ადრიანი,2
ტოვებს და გზას იკვლევს გრინვიჩის პატარა ბარებსა და კაფეებში რაც საბოლო ჯამში ღამის,2
ეტაპზე დღე ღამის განმავლობაში ნავთობსადენი ათას ბარელ ნავთობს ატარებს საიდანაც სწორედ თურქმენულ ნავთობზე,3
ვე ბი ყვე ლას თუ რა ბარ ბა რო სუ ლად გა გი,3
საშობაო მადაგასკარი ქართულად ბურთის შერჩევა ქართულად ბარი საძაგელი კოიოტი ქართულად ტკივილი ჩემს გულში,3
მცირე რაოდენობით პურის დამზადებით იყო გამოწვეული ბარ,3
სოლოლაკში კარაოკე ბარი გაიხსნა ოფიციალური ვებგვერდი,2
ბავშვებმა ბარში ააშენებს ქვიშის ციხე კოშკი,1
ბარში ხედი უიტმენი გზა სამხრეთით ვაშინგტონში ტეხასი,3
რომ საქართველო მრავალფეროვან მთ სა და ბარ მოსახლეობ და თან არ უნდა დავ,3
მიყვარს ძალიან ჩაისთან ერთად ლიმონიან ჩაის ბარი ვაითიც უხდება ვერაფერს იტყვი ახლა მე,2
ვააა ბარო ბიჭები ჩემი ძმა თეთრ კაბიანის გვერდეზე,3
ზღვითა ვითა მდინარე ვიწროდ ზღვა შეერთვის ბარისა ზღვასა თეთრსა ამ ვიწროს მომდინარეობისათვის ექსანოპონტოდ,3
და სანამ სიგარასაც გადასწვდებოდა აღმოაჩინა რომ ბარში ჩართულ ტელევიზორში რომელსაც არავინ უყურებდა ფეხბურთი,2
ჯგუფზე მარტივი ჰერპესის ჩუტყვავილა ზოსტერის ებშტეინ ბარის ვირუსები ციტომეგალოვირუსი წითელას და წითურას ვირუსები,3
კონტროლს უწევდა ივრის ხეობის ზემო წელის ბართან დამაკავშირებელ აგრეთვე ახლო აღმოსავლეთიდან მცხეთა თბილისისაკენ,1
ყველას აბა ერთი ვინმემ სცადოს ასეთი ბარის გახსნა და ფული არ მიიტანოს სადაც,2
როგორც ერთ ერთ ბარში განმარტავენ მათთვის უცნობია რა მოტივით მოხდა,2
ტერიტორიიდან კვ მიწის ნაკვეთის შპს ქარვის ბარისთვის პირდაპირი განკარგვის წესით სარგებლობის უფლებით იჯარის,3
წლის ბარ რაფაელმა მიიღო მონაწილეობა ფოტოსესიაში რომელიც,3
სიფრთხილე აუცილებელია გამართავს ვიზიტის დროს სხვადასხვა ბარის სანაპიროზე იმიტომ რომ ყველა საბურავი დამონტაჟებული,3
ადგილიან რესტორანს ქართული და ევროპული კერძებით ბარს საათიანი მომსახურეობით,2
ბეჭდების მბრძანებელი ორი ციხე კოშკი ბარი ოსბორნი ფრენ უოლში პიტერ ჯექსონი,3
სატელევიზიო კარიერის მიღმა რამზი რესტორნისა და ბარის მფლობელია ინგლისში ასევე რესტორნის მსოფლიოს სხვადასხვა,2
პირით აღმოსავლეთის მხრიდან ეკვრის საქართვვლო ადერბეიჯანის ბარს მაგრამ აქედანაც მას მდინარეების ერთიანი ხაზი,1
წევრი ქვეყნები შეთანხმდნენ რომ დღეში ათას ბარელამდე შეამცირონ ნავთობის წარმოება ამ ინფორმაციის შემდეგ,3
შენ ბარის ამბებს მიხედე შენგელ და იმ თამარს,2
ზაფხულის ერთ დილას ყავის დასალევად შევიარე ბარის მაგიდაზე გამოფენილი გემრიელი ნამცხვრების გამო ჩავთვალე,2
შემტკივა რომ კარგი მეგობრები ყავდეს მაგრამ ბარში ნიკასთან ერთად იყო თუ გოგასთან ან,2
ზოგადი საოჯახო ნომერი ბარი კონსიერჯი ლიფტი რესტორანი სამრეცხაო უკაბელო ინტერნეტი,2
მან ბარით ხელში აშენოს უნდა ღვთისთვის საყდარი,0
ღიღინებდა დიდხანს აღარ უცდია სწრაფად შემოსვა ბარზე და ისე დაეწაფა მის ტუჩებს ელენეს,3
და მისი სხვა პერსონაჟების შთაგონებით თემატური ბარი სახელად გაიხსნა,3
კარგად ემსახურება პატარა მყუდრო წინა ოთახი ბარით ყოფილი გარაჟის ეზო სასიამოვნოდ განაწყობს ფილმის,2
კვ მეტრი დიდი ოთახი სტუდიოს სტილში ბარის სტოიკით საწყისი ფასი ლარი მარინა თამაზი,2
და ამაღელვებელია მხოლოდ წინაპრების მთისა და ბარის სიყვარულით დაიძლევა ყოფითი ყოველდღიური ცხოვრება,1
კაფე ბარი რესტორანი რესტორანი მე სართ ანაკლია,2
ოჯახის წევრებს გჭირდებათ შეგროვება როგორც ბევრი ბარელი ლუდი რომელიც გადავა თავზე მას ერთხელ,3
სრულად მთიულეთის თემი მათით სამართლიანითა მთითა ბარითა საყდრებითა წყლითა წისქუილითა სათევზაოითა სანადიროითა ველითა,1
კერძოდ მოწევა შეიზღუდება რესტორნების კაფეების ბარების კვების სხვა ობიექტების გასართობი კლუბების ცენტრების,2
აღმოსავლეთ საქართველოს ბარში შალაფით ძლიერ დასარევლიანებულ ნაკვეთებზე ნაწვერალი უნდა,1
ადმინისტრაციული ღონისძიებები და ითვალისწინებდა მთისა და ბარის ეკონომიკური კავშირების გაძლიერებას და მათ შორის,1
ყოფილი მღვდლის ბარი საკუთარ სპიდს გამოქცეული გამოღმელების სემინარიაა როდესაც,3
ლონდონში ამ დროისთვის მოდურად იქცა ღვინის ბარებში რესტორნებში პრესამ და კარგმა პიარმა მომხმარებელი,2
ხევსურეთის რეგიონებად განცალკევება ვფიქრობთ სამეფო ხელისუფლებამ ბართან უფრო ახლოს მდებარე შემდეგდროინდელი ფშავის ნაწილი,1
იზოლირებული სამზარეულო მოსასვენებელი ოთახი მისაღები ოთახი ბარის ოთახი ტერასით აივნებით შენობა არის იდეალურ,2
აღვწერე საღამოს კიდევ პატარა ზვიგენები მოდიან ბარის ქვემოთ წყალში და აჭმევ საოცარ მოძრაობებს,3
აქცესიურსა და დეცესიურ კომპლექსებში ქართული ენის ბარის კილოების ჩვენებათა მიხედვით,1
ქედის ჩრდილო დასავლეთ კალთაზე იღებს სათავეს ბარისკენ ეშვება და ბაღდათთან მდინარე ხანისწყალს ერთვის,1
არის დაფასებული კარგი მზარეული რესტორებსა თუ ბარებში ძალიან დიდი მნიშნველობა აქვს მზარეულის პირად,2
ირანში წარმოება მეოთხე კვარტალში დღეში მილონ ბარელამდე დაეცემა და ამის გამო საერთაშორისო ბაზრისმიწოდებიდან,3
რომელიც პლასმასშიად ამაინც და მაინც ესენია ბარზე გათვლილი,3
და პიარის ხელმძღვანელი ეკა ტოროშელიძე ბუდა ბარ თბილისის წარმომადგენელი და კომპანია ეკო ფუდის,2
ბედი დღეს ჩვენთვის მომავალი არა ანაკლიის ბარებში და ბორდელებში დროის ტარებაა არამედ ჩვენი,2
ალბათ ბავშვები ბარში წავალთ ან კლუბში,2
ხვრელებს და ასე გადაადგილდება თუ ნიადაგს ბარვის დროს დავაკვირდებით ვნახავთ რომ მიწა დასვრეტილია,0
დღე ორიგინალურად აღნიშნა და გლაზგოში უჩვეულო ბარი გახსნა ბარი რომელსაც უწოდეს წლის მიტოვებულ,2
აღმშენებლობა მოაშენა აყრილი სოფლები ომებისაგან გაუკაცრიელებული ბარის ნასოფლარებში ჩამოიყვანა მთის მოსახლეობა და ნაწილობრივ,1
ბარი სადაც ძველი სკოლა დიდი ხანია ვმუშაობთ,3
მზიანი აირჩიე მისაღებად მზე ამისათვის გამოიყენოთ ბარი ნავიგაცია მოძრავი წრე საუკეთესო მომენტი განახორციელოს,3
იქ არ იყო იმის საშუალება რომ ბარის საქართველოს მსგავსად ვრცელი სააზნაურო ერთეულები გავრცელებულიყო,1
კახეთში და დაინახავს მოხეული მასტი ეზოში ბარავს გახდილია შრომისგან ბატიბუტივით აყრია კუნთები ცუდი,0
აბაშიძის ნომერში ახალი ჟანგბადის ბარი ავიატორი გაიხსნა,2
ავტობუსი სადგურები რომელიც ახლოსაა ლუდის ბარი თან თბილისი ში,2
მისი მეგობრები ისრიანი ღილაკები და სივრცეში ბარი,3
ძირითადად სვანი ტომების საცხოვრისს წარმოადგენდა კოლხეთის ბარი მიმდგომი მხარეებით ზანი ტომების ადგილსამყოფელი უნდა,1
რამოდენიმე სავაჭრო ობიექტი მათ შორის ლუდის ბარი ჰეინიკენი და ავტოსამრეცხაო,2
მოღვაწეებში მოხვდნენ მომღერალი ალიშა კიზი სცენარისტი ბარი ჯენკინსი მსახიობი ედ შირანი მსახიოხბი ემა,2
დღეისათვის ამ ქვეყანაში დღე ღამეში მილიონ ბარელ ნავთობს აწარმოებენ,3
ხიდი და სხალთის მონასტერი იქვე მაგარი ბარია სადაც ჩამოსასხმელი ბათუმის ლუდი აქვთ მერე,2
ერთი უინტერესოდ იყურება კაფის ვიტრინიდან მეორე ბართან ზის და მაცდურად იღიმება ყველა მათგანს,2
იმით ვქსოვდი მაგრამ ახლა ვეღარ ჩავდივარ ბარს თუ ამოხვალთ კიდევ ჩვენსას წამომიღეთ ფერადი,1
ბართან დგომა და ნაირ ნაირი სასმელების შეზავება,2
გადაამოწმეთ გუდაურში საკმაოდ ცოტა დისკოტეკა და ბარია ღამის გართობის მოყვარულებმა შეიძლება მოიწყინოთ მომსახურება,2
ვაუჩერი მენიუ პერსონაზე მხიარული გართობა კარაოკე ბარში,2
სარაფანა გადავიცვი კლასიკური ფეხსაცმელი ჩავიცვი და ბარში ჩავედი,2
დაგრჩა მისი მამული სახლი კარი მთა ბარი წისქვილი ვენახი სახნავი სათიბი მარანი ბაღი,1
თქვენ უნდა დააჭირეთ სივრცეში ბარი გააკონტროლოს ბარელი თოფი გამოიყენოთ ისრის და გაიქცა წინ,3
მოსახლეობის რაოდენობა ადამიანია და ქალაქში ერთი ბარი და ერთი სასტუმროა იქ თითქოს სამყაროს,2
სალერნო მესინა კალიარი კატანია პალერმო ტარანტო ბარი ტრიესტი,3
ოჯახისა და მთავრობის წევრები წერაქვებითა და ბარებით მივიდნენ მათთვის სათაყვანებელი პრეზიდენტის ცხედრის ამოსათხრელად,0
სიმპათიური კაფეებისა და ბარების ძიებაში ბენ იეჰუდას ბულვარამდე უნდა გაისეირნოთ,2
პროდუქტის უფრო იაფად ყიდვა აქვს პერსონალური ბარიც და ადვილი მოსახმარია მაგალითად მოგვეწონა ნაკრები,3
